ModuleName,ARITLSHIFT,ARITLSHIFT_PORT_NUM,ARITLSHIFT_PORT_WIDTH,ARITLSHIFT_VALUE,ARITRSHIFT,ARITRSHIFT_PORT_NUM,ARITRSHIFT_PORT_WIDTH,ARITRSHIFT_VALUE,AlwaysConstructs,AssignLHSPortNum,AssignLHSWidth,AssignRHSPortNum,AssignRHSWidth,AssignStmts,BLOCKINGASSIGN,BlockAssign_Left_PortNum,BlockAssign_Left_Width,BlockAssign_Right_PortNum,BlockAssign_Right_Width,CASECONDITIONNUM,CASECONDITIONWIDTH,CASEITEMCONDITIONNUM,CASEITEMCONDITIOWIDTH,CASEITEMNUM,CONDITIONALELSE,CONDITIONALIF,CONDITIONALIFWIDTH,CONDITIONALTHEN,FORBLOCK,FORTIMES,FUNCTIONCALL,FUNCTIONNUM,INDEXMEMRORY,INOUT,INOUTWIDTH,INPUT,INPUTWIDTH,MIN,ModuleInsts,NonBlockLeftWidth,NonBlockRightWidth,NonBlockingAssign,NonBlockingLeftPortNum,NonBlockingRightPortNum,OUTPUT,OUTPUTWIDTH,PARAMETERNUM,PARAMETERVALUE,PLUS,QUESTIONCOLON,QUESTIONCOLONELSE,QUESTIONCOLONIF,QUESTIONCOLONTHEN,REDAND,REDAOR,REDXOR,REG,REGWIDTH,UnaryOperator,WIRENUM,WIREWIDTH,LUT,FF,IO,BUFG
half_add2,0,0,0,0,0,0,0,0,0,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,,,
half_add3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,8,8,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,,,
half_adder,0,0,0,0,0,0,0,0,0,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,,,
im,0,0,0,0,0,0,0,0,0,1,32,1,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,33,0,0,0,0,0,0,0,1,32,2,128,0,0,0,0,0,0,0,0,1,4096,0,0,0,0,,,
JK_FF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,2,2,2,2,0,0,0,0,0,0,0,5,5,0,0,7,2,7,7,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,,,
johnson,0,0,0,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,2,0,0,8,0,3,4,2,1,4,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,,,
latch_1,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,,,
latch_16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,16,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,,,
latch_2,0,0,0,0,0,0,0,0,0,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,1,,,
latch_8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,9,0,0,8,8,1,1,1,1,8,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,,,
longframe1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,18,3,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,8,1,0,0,0,0,2,0,0,2,9,0,0,0,9,,,
longframe2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,19,4,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,8,1,0,0,0,0,2,0,0,3,10,0,0,0,9,,,
lookup,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,18,72,2,4,1,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,2,,,
MAC,0,0,0,0,0,0,0,0,1,1,16,1,16,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,4,18,0,0,32,16,2,2,2,1,16,0,0,1,0,0,0,0,0,0,0,1,16,0,1,16,72,,,
mAlu,0,0,0,0,2,2,16,2,3,0,0,0,0,0,18,18,130,10,58,3,10,0,0,13,3,3,16,3,0,0,0,0,0,0,0,7,45,2,0,0,0,0,0,0,2,9,4,8,2,0,0,0,0,2,1,1,4,25,0,0,0,48,,,
mCntrl,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65,208,418,17,17,1,11,11,11,12,5,6,1,6,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,14,17,23,0,0,0,0,0,0,7,0,0,15,28,0,3,8,37,,,
mem_mod,0,0,0,0,0,0,0,0,1,1,32,1,32,1,1,1,7,1,7,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,0,5,67,0,0,71,39,3,4,4,1,32,0,0,0,0,0,0,0,6,0,0,4,2120,0,0,0,104,,,
mpc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,35,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,18,1,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,1,0,0,4,26,0,0,0,8,,,
mRegister,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,16,16,12,12,3,6,0,0,12,1,2,2,2,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,6,6,0,0,0,6,,,
mult,0,0,0,0,0,0,0,0,0,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,1,16,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,71,,,
mult_for,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,1,7598283,0,0,0,0,0,2,16,0,0,0,0,0,0,0,1,16,1,8,0,0,0,0,0,0,0,0,2,17,0,0,0,68,,,
mult_repeat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,40,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,1,16,1,8,0,0,0,0,0,0,0,0,3,40,0,0,0,#N/A,,,
MUX21_2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,,,
MUX21_2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,,,
mux2_1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
mux2_1b,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,,
MUX2_1c,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,,,
mux4_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,4,4,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,,
mux4_1c,0,0,0,0,0,0,0,0,0,1,1,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,1,,,
mux4_1d,0,0,0,0,0,0,0,0,0,1,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,1,1,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,1,,,
mux_case,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,,
mux_casez,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,,,
mux_if,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,,,
